Year,Weekday,Weekday.Code,Delivery.Method, Births ,Total_Births,Pct_Of_Births
2017,Friday,6,Cesarean," 212,549 ",612505,0.347015943
2017,Friday,6,Non-Cesarean," 399,956 ",612505,0.652984057
2017,Monday,2,Cesarean," 203,365 ",572409,0.35527918
2017,Monday,2,Non-Cesarean," 369,044 ",572409,0.64472082
2017,Saturday,7,Cesarean," 101,808 ",426569,0.238667132
2017,Saturday,7,Non-Cesarean," 324,761 ",426569,0.761332868
2017,Sunday,1,Cesarean," 87,480 ",379709,0.230386954
2017,Sunday,1,Non-Cesarean," 292,229 ",379709,0.769613046
2017,Thursday,5,Cesarean," 206,960 ",621888,0.332793043
2017,Thursday,5,Non-Cesarean," 414,928 ",621888,0.667206957
2017,Tuesday,3,Cesarean," 211,632 ",621061,0.340758798
2017,Tuesday,3,Non-Cesarean," 409,429 ",621061,0.659241202
2017,Unknown,9,Cesarean, -   ,0,NA
2017,Unknown,9,Non-Cesarean, -   ,0,NA
2017,Wednesday,4,Cesarean," 208,545 ",621359,0.33562723
2017,Wednesday,4,Non-Cesarean," 412,814 ",621359,0.66437277
