"Year","Weekday","Weekday.Code","Delivery.Method","Births","Total_Births","Pct_Of_Births"
2017,"Friday","6","Cesarean",212549,1232339,0.172476080039664
2017,"Friday","6","Non-Cesarean",399956,2623161,0.152471007307596
2017,"Monday","2","Cesarean",203365,1232339,0.165023585231012
2017,"Monday","2","Non-Cesarean",369044,2623161,0.140686751594736
2017,"Saturday","7","Cesarean",101808,1232339,0.0826136314764038
2017,"Saturday","7","Non-Cesarean",324761,2623161,0.123805210583719
2017,"Sunday","1","Cesarean",87480,1232339,0.0709869605684799
2017,"Sunday","1","Non-Cesarean",292229,2623161,0.111403379357958
2017,"Thursday","5","Cesarean",206960,1232339,0.167940802003345
2017,"Thursday","5","Non-Cesarean",414928,2623161,0.15817862494906
2017,"Tuesday","3","Cesarean",211632,1232339,0.171731966609837
2017,"Tuesday","3","Non-Cesarean",409429,2623161,0.156082299180264
2017,"Unknown","9","Cesarean",0,1232339,0
2017,"Unknown","9","Non-Cesarean",0,2623161,0
2017,"Wednesday","4","Cesarean",208545,1232339,0.169226974071258
2017,"Wednesday","4","Non-Cesarean",412814,2623161,0.157372727026667
