"Year","Month","Month.Code","Births","Total_Births","Pct_Of_Births"
2017,"January","1",313786,3855500,0.0813865905848788
2017,"February","2",289054,3855500,0.0749718583841266
2017,"March","3",319625,3855500,0.0829010504474128
2017,"April","4",300116,3855500,0.0778410063545584
2017,"May","5",322456,3855500,0.0836353261574374
2017,"June","6",323920,3855500,0.08401504344443
2017,"July","7",334924,3855500,0.0868691479704319
2017,"August","8",352151,3855500,0.0913373103358838
2017,"September","9",337175,3855500,0.0874529892361561
2017,"October","10",329869,3855500,0.0855580339774348
2017,"November","11",316511,3855500,0.0820933731033588
2017,"December","12",315913,3855500,0.0819382700038905
